date,key,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,share_of_last_week,percentage
2020-05-10,Northern Mariana Islands,16,2,12,2,15.0979,145.6739,,0.0
2020-05-10,Ohio,24081,1341,0,22740,40.3888,-82.7649,,0.0
2020-05-10,Oklahoma,4589,272,3204,1113,35.5653,-96.9289,,0.0
2020-05-10,Oregon,3228,127,1125,1976,44.571999999999996,-122.0709,,0.0
2020-05-10,Pennsylvania,59939,3806,0,56133,40.5908,-77.2098,,0.0
2020-05-10,Puerto Rico,2198,111,0,2087,18.2208,-66.5901,,0.0
2020-05-10,Rhode Island,11274,422,809,10043,41.6809,-71.5118,,0.0
2020-05-10,South Carolina,7653,331,4120,3202,33.8569,-80.945,,0.0
2020-05-10,South Dakota,3517,34,2147,1336,44.2998,-99.4388,,0.0
2020-05-10,Tennessee,14985,243,7528,7214,35.7478,-86.6923,,0.0
2020-05-10,Texas,39258,1094,21022,17142,31.0545,-97.5635,,0.0
2020-05-10,Utah,6251,67,3033,3151,40.15,-111.8624,,0.0
2020-05-10,Vermont,927,53,777,97,44.0459,-72.7107,,0.0
2020-05-10,Virgin Islands,69,4,59,6,18.3358,-64.8963,,0.0
2020-05-10,Virginia,24081,839,3201,20041,37.7693,-78.17,,0.0
2020-05-10,Washington,16891,931,0,15960,47.4009,-121.4905,,0.0
2020-05-10,West Virginia,1360,54,775,531,38.4912,-80.9545,,0.0
2020-05-10,Wisconsin,10219,400,5014,4805,44.2685,-89.6165,,0.0
2020-05-10,Wyoming,662,7,443,212,42.756,-107.3025,,0.0
2020-05-06,Alabama,8691,343,0,8348,32.3182,-86.9023,,0.0
2020-05-06,Alaska,372,10,284,78,61.3707,-152.4044,,0.0
2020-05-06,American Samoa,0,0,0,0,-14.270999999999999,-170.132,,0.0
2020-05-06,Arizona,9707,426,1693,7588,33.7298,-111.4312,,0.0
2020-05-06,Arkansas,3611,87,2109,1415,34.9697,-92.3731,,0.0
2020-05-06,California,60616,2464,0,58152,36.1162,-119.6816,,0.0
2020-05-06,Colorado,17832,919,2801,14112,39.0598,-105.3111,,0.0
2020-05-06,Connecticut,30995,2718,4346,23931,41.5978,-72.7554,,0.0
2020-05-06,Delaware,5778,193,2008,3577,39.3185,-75.5071,,0.0
2020-05-06,Diamond Princess,49,0,0,49,,,,0.0
2020-05-06,District of Columbia,5461,277,808,4376,38.8974,-77.0268,,0.0
2020-05-06,Florida,38002,1539,0,36463,27.7663,-81.6868,,0.0
